All coordinates are in the J2000 frame centered on the moon with an altitude of approximately 100 km
The kernels used for the Lunar orientation data are naif0012.tls, moon_pa_de440_200625.bpc, and moon_de440_220930.tf
The gravity model used is GRGM1200b to degree and order 250
UTC time for the sampling is 2003 Dec 19 16:48:00
t (s J2000)             x (km)                  y (km)                  z (km)                  Gx (km/s^2)             Gy (km/s^2)             Gz (km/s^2)           
125124544.1835606       127.920312470057        2470.087733269877       -5987.366864856056      8.373329934962531e-10   1.26659475388316e-10    0.0001168221726280196 
125124544.1835606       127.9203124700572       2470.087733269877       -5987.366864856056      8.373329934948867e-10   1.266594753925203e-10   0.0001168221726280196 
125124544.1835606       127.9203124700574       2470.087733269877       -5987.366864856056      8.373329934913107e-10   1.266594753951187e-10   0.0001168221726280196 
125124544.1835606       127.9203124700576       2470.087733269878       -5987.366864856056      8.373329934868899e-10   1.266594753951187e-10   0.0001168221726280196 
125124544.1835606       127.9203124700577       2470.087733269878       -5987.366864856056      8.373329934833139e-10   1.266594753925203e-10   0.0001168221726280196 
125124544.1835606       127.9203124700576       2470.087733269878       -5987.366864856056      8.373329934819478e-10   1.266594753883157e-10   0.0001168221726280196 
125124544.1835606       127.9203124700574       2470.087733269878       -5987.366864856056      8.373329934833139e-10   1.266594753841115e-10   0.0001168221726280196 
125124544.1835606       127.9203124700571       2470.087733269878       -5987.366864856056      8.373329934868903e-10   1.266594753815129e-10   0.0001168221726280196 
125124544.1835606       127.9203124700569       2470.087733269878       -5987.366864856056      8.373329934913104e-10   1.26659475381513e-10    0.0001168221726280196 
125124544.1835606       127.9203124700569       2470.087733269878       -5987.366864856056      8.373329934948869e-10   1.266594753841117e-10   0.0001168221726280196 
125124544.1835606       -1403.898614243578      1162.785878172572       -6216.370056006672      3.609878797301422e-05   1.33960796857886e-10    0.0001111052153059496 
125124544.1835606       -351.0193123363998      554.5418940203481       -6444.806259377561      2.920463085645975e-05   2.12184502196251e-05    0.0001111051252102548 
125124544.1835606       882.4072097782832       631.7936476005575       -6386.583851618318      1.115546209182359e-05   3.433217482692193e-05   0.0001111052455183677 
125124544.1835606       1825.253943278236       1365.033594736092       -6063.941813586119      -1.11547082668119e-05   3.433233964389948e-05   0.0001111056053843303 
125124544.1835606       2117.385482148291       2474.188997530352       -5600.118437609725      -2.920420917077416e-05  2.121867504793764e-05   0.0001111060517877902 
125124544.1835606       1647.217507725898       3535.600190921512       -5172.278488535399      -3.609857237387465e-05  1.712740771374434e-11   0.0001111062703282302 
125124544.1835606       594.3382058187201       4143.844175073737       -4943.84228516451       -2.920425189767133e-05  -2.121864973800899e-05  0.0001111060659322087 
125124544.1835606       -639.0883162959628      4066.592421493527       -5002.064692923753      -1.115481046994375e-05  -3.433232299136195e-05  0.0001111056697415808 
125124544.1835606       -1581.935049795916      3333.352474357993       -5324.706730955952      1.11553573038934e-05    -3.433213664219922e-05  0.000111105438552878  
125124544.1835606       -1874.066588665971      2224.197071563733       -5788.530106932346      2.920460773272019e-05   -2.121828637238895e-05  0.0001111053466135105 
125124544.1835606       -2798.294163058238      -258.3375602858625      -5836.871634078373      6.866536310125297e-05   1.727673698434058e-10   9.451466702512286e-05 
125124544.1835606       -795.5987211560105      -1415.28636953646       -6271.383113625592      5.555134878614367e-05   4.036077593301008e-05   9.451428005746982e-05 
125124544.1835606       1550.517941300864       -1268.344802261088      -6160.637513037949      2.121889938766832e-05   6.530509141657667e-05   9.45139940786838e-05  
125124544.1835606       3343.919000826324       126.3604572012387       -5546.935887635404      -2.121852197223194e-05  6.530553794337488e-05   9.451424057046853e-05 
125124544.1835606       3899.586208141719       2236.099404024153       -4664.691399370672      -5.555174669023017e-05  4.036148565152168e-05   9.451504786103837e-05 
125124544.1835606       3005.273576486299       4255.023467910709       -3850.891456373624      -6.866616790618106e-05  9.093483863923375e-12   9.451556698595002e-05 
125124544.1835606       1002.578134584071       5411.972277161307       -3416.379976826405      -5.555175192065517e-05  -4.036151703372647e-05  9.451503605807788e-05 
125124544.1835606       -1343.538527872804      5265.030709885936       -3527.125577414048      -2.121862655508438e-05  -6.53055756056303e-05   9.45141739279833e-05  
125124544.1835606       -3136.939587398265      3870.325450423609       -4140.827202816594      2.121876329044787e-05   -6.530528549359861e-05  9.451419688487896e-05 
